GSE,UID,n_samples,title,date,gdstype,tumor_pct,summary,category,reason,exclude_features,sample_example
GSE159070,200159070,24,"The H3K27M mutation alters stem cell growth, epigenetic regulation, and differen",2021/12/31,Expression profiling by high throughput sequencing,0.0,"Lysine 27 to methionine mutation (H3K27M) of the H3F3A gene, which encodes the variant histone H3.3, is found in the majority of Diffuse Intrinsic Pon",D,样本标题/摘要无特征词,-,C1_undiff_day0_3_SPOND7
GSE247890,200247890,23,A multidimensional atlas of human glioblastoma-like organoids reveals highly coo,2024/01/26,Expression profiling by high throughput sequencing,0.0,We use bulk-RNA sequencing to gain deeper insights into the impact of genetic modifications on phenotypic changes in two-month-old organoids derived f,D,样本标题/摘要无特征词,-,GFP_PT_rep3
GSE54791,200054791,23,Reconstructing and reprogramming the tumor propagating potential of glioblastoma,2014/04/14,Expression profiling by high throughput sequencing,0.0,Developmental fate decisions are dictated by master transcription factors (TFs) that interact with cis-regulatory elements to direct transcriptional p,A?,摘要含瘤种词(样本标题无特征),-,MGG6DGC_2
GSE188620,200188620,23,Next Generation Sequencing Facilitates Quantitative Analysis of Transcriptomes a,2022/02/01,Expression profiling by high throughput sequencing,0.0,"In the clinical trial, we evaluated the immunological efficacy of the vaccination of GBM6-AD, a tumor-cell lysate, assisted with poly-ICLC in low grad",D,样本标题/摘要无特征词,-,103_029_screening
GSE317583,200317583,22,RNA-seq of 11 human glioblastoma cell lines under standard serum-containing cond,2026/01/31,Expression profiling by high throughput sequencing,0.0,"A transcriptomic comparison was performed between brincidofovir (BCV)-sensitive (KALS-1, T98G, and LN-18) and less sensitive (A-172, AM-38, KNS-42, LN",B,非目标瘤种/类型(细胞系/处理实验=8),细胞系/处理实验=8,KALS1-2
GSE290046,200290046,22,PolyA RNA seq of human glioblastoma cells treated with a pool of 11 miRNAs in vi,2025/10/29,Expression profiling by high throughput sequencing,0.0,Glioblastoma (GBM) has a poor prognosis due to infiltrative and therapy-resistant glioma stem-like cells. MicroRNAs (miRNAs) synergistically modulate ,A?,摘要含瘤种词(样本标题无特征),-,GBM2 SCRAMBLE 1
GSE287371,200287371,22,Newly-diagnosed IDHwt MGMT unmethylated glioblastoma patients treated with stand,2025/06/02,Expression profiling by high throughput sequencing,0.0,Improving immunotherapeutic efficacy for patients with glioblastoma (GBM) has been suggested to be limited by a number of factors including indoleamin,A?,摘要含瘤种词(样本标题无特征),-,Patient 109 PBLs sample collected at C1D1
GSE270493,200270493,22,Effects of PP121/ bufalin-induced differentiation on gene expression of neurobla,2024/07/23,Expression profiling by high throughput sequencing,0.0,"Tumor cell heterogeneity in neuroblastoma, a pediatric cancer arising from neural crest-derived progenitor cells, poses a significant clinical challen",A?,摘要含瘤种词(样本标题无特征),-,SKNAS_S2D4_1
GSE248420,200248420,22,"Pycallingcards: an integrated environment for visualizing, analyzing, and interp",2024/01/01,Expression profiling by high throughput sequencing; Other,0.0,"Unraveling the transcriptional programs that control how cells divide, differentiate, and respond to their environments requires a precise understandi",B,非目标瘤种/类型(细胞系/处理实验=22),细胞系/处理实验=22,"k562, WTHYPBcentrip, rep3"
GSE182685,200182685,22,Mitochondrial variant enrichment from high-throughput single-cell RNA-seq resolv,2021/12/08,Expression profiling by high throughput sequencing; Genome b,0.0,Reconstructing lineage relationships in complex tissues can reveal mechanisms underlying development and disease. Recent methods combine single-cell t,C,单细胞/空间数据,-,BPDCN712_10x_GoT_Rxn4_TET2-4104_ASXL1-1898
